title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,facebookUrl,instagramUrl
Mobi-tech - Servicio Técnico de Celulares y Notebooks,https://www.google.com/maps/place/Mobi-tech+-+Servicio+T%C3%A9cnico+de+Celulares+y+Notebooks/data=!4m7!3m6!1s0x95bcb5f3d985d6bb:0x3d9ee836f15919b1!8m2!3d-34.6012719!4d-58.439076!16s%2Fg%2F1pzv8tzwz!19sChIJu9aF2fO1vJURsRlZ8Tbonj0,https://www.mobitech.com.ar/,Data found,,4.8,690,Tienda de móviles,"Aráoz 223, C1414DPE Cdad. Autónoma de Buenos Aires, Argentina",+54 11 4579-9628,Servicio técnico celulares Buenos Aires,mobitechargentina@gmail.com,https://www.facebook.com/mobitechargentina/,https://www.instagram.com/mobitecharg/
BLACK-CELL reparamos tu celular.,https://www.google.com/maps/place/BLACK-CELL+reparamos+tu+celular./data=!4m7!3m6!1s0x95bccbdcb7aed525:0x80bdb57a2de32fa2!8m2!3d-34.6443224!4d-58.3916916!16s%2Fg%2F11j2c2_8s2!19sChIJJdWut9zLvJURoi_jLXq1vYA,https://www.instagram.com/blackcellservice?r=nametag,Data found,,4.9,440,Tienda de reparación de teléfonos móviles,"Juan Manuel Fangio 3065, C1284 Cdad. Autónoma de Buenos Aires, Argentina",+54 11 3119-2216,Servicio técnico celulares Buenos Aires,,https://www.facebook.com/help/1561485474074139,https://privacycenter.instagram.com/policies/cookies/?annotations[0]=explanation%2F3_companies_list
OnCelular,https://www.google.com/maps/place/OnCelular/data=!4m7!3m6!1s0x95bccac165153c03:0xe1cc697c5c17a016!8m2!3d-34.6044169!4d-58.3904041!16s%2Fg%2F1hc1w3bbm!19sChIJAzwVZcHKvJURFqAXXHxpzOE,http://www.oncelular.com.ar/,Data found,,3.9,812,Tienda de reparación de teléfonos móviles,"Av. Corrientes 1676, C1042 Cdad. Autónoma de Buenos Aires, Argentina",+54 11 3220-8171,Servicio técnico celulares Buenos Aires,,https://www.facebook.com/oncelularoficial/,https://instagram.com/oncelular_oficial
Servicio técnico y reparación iPhone Y Mac - Teveotecno - Recoleta CABA | Pantalla | Bateria,https://www.google.com/maps/place/Servicio+t%C3%A9cnico+y+reparaci%C3%B3n+iPhone+Y+Mac+-+Teveotecno+-+Recoleta+CABA+%7C+Pantalla+%7C+Bateria/data=!4m7!3m6!1s0x95bccb83ceff9651:0xc7a983568ce4de83!8m2!3d-34.5906399!4d-58.4026627!16s%2Fg%2F11qq79p13f!19sChIJUZb_zoPLvJURg97kjFaDqcc,https://teveotecno.com.ar/,Data found,,4.9,473,Tienda de reparación de teléfonos móviles,"Juncal 2525, C1425 Cdad. Autónoma de Buenos Aires, Argentina",+54 11 7700-0084,Servicio técnico celulares Buenos Aires,info@teveotecno.com.ar,,
iSeephone  Servicio Técnico iPhone - Samsung - Motorola,https://www.google.com/maps/place/iSeephone+%EF%A3%BF+Servicio+T%C3%A9cnico+iPhone+-+Samsung+-+Motorola/data=!4m7!3m6!1s0x95bccb26bff806b9:0x9296760271491abf!8m2!3d-34.5939861!4d-58.4023543!16s%2Fg%2F11jsv11b5c!19sChIJuQb4vybLvJURvxpJcQJ2lpI,https://www.iseephone.com.ar/,Data found,,5.0,412,Tienda de reparación de teléfonos móviles,"Av. Pueyrredón 1438, C1414 Cdad. Autónoma de Buenos Aires, Argentina",+54 11 5749-1566,Servicio técnico celulares Buenos Aires,iseephonex@gmail.com,,https://instagram.com/isee.phone
Ifatec Servicio Tecnico Local 28 R,https://www.google.com/maps/place/Ifatec+Servicio+Tecnico+Local+28+R/data=!4m7!3m6!1s0x95bccbeafca92d3f:0x27c738a483917ef6!8m2!3d-34.6277483!4d-58.4607498!16s%2Fg%2F11hzxskntm!19sChIJPy2p_OrLvJUR9n6Rg6Q4xyc,https://instagram.com/ifatec_arg?igshid=YmMyMTA2M2Y=,Data found,,5.0,708,Tienda de reparación de teléfonos móviles,"Av. Rivadavia 6743 local 28 R, C1406 Cdad. Autónoma de Buenos Aires, Argentina",+54 11 2162-5829,Servicio técnico celulares Buenos Aires,,https://developers.facebook.com/docs/instagram,https://about.instagram.com/
Servicio Técnico - Celunett Soluciones tecnológicas y reparación de celulares Soluciones de verdad,https://www.google.com/maps/place/Servicio+T%C3%A9cnico+-+Celunett+Soluciones+tecnol%C3%B3gicas+y+reparaci%C3%B3n+de+celulares+Soluciones+de+verdad/data=!4m7!3m6!1s0x95a334b568fdd219:0xcc238f6d4242a173!8m2!3d-34.6348228!4d-58.3698917!16s%2Fg%2F11b73t5lr9!19sChIJGdL9aLU0o5URc6FCQm2PI8w,https://www.instagram.com/celunett/,No data found,,4.6,476,Tienda de móviles,"Av. Regimiento de Patricios 524, C1265ADS Cdad. Autónoma de Buenos Aires, Argentina",+54 11 3300-6675,Servicio técnico celulares Buenos Aires,,,
Servicio Técnico Celulares Notebook PC - Neogenesys,https://www.google.com/maps/place/Servicio+T%C3%A9cnico+Celulares+Notebook+PC+-+Neogenesys/data=!4m7!3m6!1s0x95bcc9efa28395f5:0xb6080ae5fccf076a!8m2!3d-34.6190029!4d-58.4827308!16s%2Fg%2F11b5z1qb0_!19sChIJ9ZWDou_JvJURagfP_OUKCLY,https://www.neogenesys.com.ar/,Data found,,4.9,253,Tienda de informática,"Campana 1310, C1416 BGJ, Cdad. Autónoma de Buenos Aires, Argentina",+54 11 5600-3995,Servicio técnico celulares Buenos Aires,neogenesys.reparaciones@gmail.com,https://facebook.com/Neogenesysreparaciones/,https://www.instagram.com/neogenesys.reparaciones/
"Dav-Tec Reparaciones de Celulares, Computadoras, y Armado de Equipos","https://www.google.com/maps/place/Dav-Tec+Reparaciones+de+Celulares,+Computadoras,+y+Armado+de+Equipos/data=!4m7!3m6!1s0x95bcc9d7fc9c748d:0x40e3ef5ea90c67a3!8m2!3d-34.6559517!4d-58.4783631!16s%2Fg%2F11sqcsrydl!19sChIJjXSc_NfJvJURo2cMqV7v40A",https://www.facebook.com/Dav-Tec2008,Data found,,5.0,605,Tienda de reparación de teléfonos móviles,"Homero 1944, C1407 Cdad. Autónoma de Buenos Aires, Argentina",+54 11 6663-8799,Servicio técnico celulares Buenos Aires,,https://www.facebook.com/recover/initiate/?privacy_mutation_token=eyJ0eXBlIjo1LCJjcmVhdGlvbl90aW1lIjoxNzc2NzE3MjU1fQ%3D%3D&ars=facebook_login&next=https%3A%2F%2Fwww.facebook.com%2FDav-Tec2008,
Servicio técnico Lavalle I Cambio de modulo y reparación de celulares / computadoras / consolas,https://www.google.com/maps/place/Servicio+t%C3%A9cnico+Lavalle+I+Cambio+de+modulo+y+reparaci%C3%B3n+de+celulares+%2F+computadoras+%2F+consolas/data=!4m7!3m6!1s0x95bccb007e26e0e1:0x54a3a77e23e218da!8m2!3d-34.6030027!4d-58.3913789!16s%2Fg%2F11w4y82l_l!19sChIJ4eAmfgDLvJUR2hjiI36no1Q,https://serviciotecnicolavalle.mitiendanube.com/,No data found,,5.0,128,Tienda de reparación de teléfonos móviles,"Lavalle 1711, C1048AAO Cdad. Autónoma de Buenos Aires, Argentina",+54 11 5814-0977,Servicio técnico celulares Buenos Aires,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Export limit reached - Get more with our premium plans,,,,,,,,,,,,,
Upgrade to export all your data with the link below:,,,,,,,,,,,,,
https://phbuster.io/upgrade,,,,,,,,,,,,,
